Order ID,Order Status,Order Date,Order Day of Week,Order Month,Order Year,Customer ID,Company ID,Product ID,Product Variant ID,Product Unit Selling Price,Product Quantity,Total Selling Price,Payment Status,Shipment ID,Shipment Number,Shipping Address Type,Shipping City,Shipping State,Shipping Postal Code,Shipping Country
104,Completed,6/6/2013,Thursday,June,2013.0,Cust_3161,Company_87239,Prod_5030,Prod_Var_50300,4.3,50,215.0,Received,271,271,Business,Washington,District Of Columbia,20011-2343,United States
104,Completed,6/6/2013,Thursday,June,2013.0,Cust_3161,Company_87239,Prod_70018,Prod_Var_70018,1.5,50,75.0,Received,271,271,Business,Washington,District Of Columbia,20011-2343,United States
107,Completed,6/6/2013,Thursday,June,2013.0,Cust_2040,Company_83024,Prod_1000,Prod_Var_10003,3.95,1,3.95,Received,438,438,Business,Lone Tree,Colorado,80124,United States
107,Completed,6/6/2013,Thursday,June,2013.0,Cust_2040,Company_83024,Prod_1000,Prod_Var_10004,3.95,1,3.95,Received,438,438,Business,Lone Tree,Colorado,80124,United States
107,Completed,6/6/2013,Thursday,June,2013.0,Cust_2040,Company_83024,Prod_1000,Prod_Var_10005,3.95,2,7.9,Received,438,438,Business,Lone Tree,Colorado,80124,United States
107,Completed,6/6/2013,Thursday,June,2013.0,Cust_2040,Company_83024,Prod_5080,Prod_Var_50800,2.75,3,8.25,Received,438,438,Business,Lone Tree,Colorado,80124,United States
107,Completed,6/6/2013,Thursday,June,2013.0,Cust_2040,Company_83024,Prod_5080,Prod_Var_50801,2.75,2,5.5,Received,438,438,Business,Lone Tree,Colorado,80124,United States
107,Completed,6/6/2013,Thursday,June,2013.0,Cust_2040,Company_83024,Prod_5002,Prod_Var_50420,2.25,1,2.25,Received,438,438,Business,Lone Tree,Colorado,80124,United States
107,Completed,6/6/2013,Thursday,June,2013.0,Cust_2040,Company_83024,Prod_5002,Prod_Var_50421,2.25,7,15.75,Received,438,438,Business,Lone Tree,Colorado,80124,United States
107,Completed,6/6/2013,Thursday,June,2013.0,Cust_2040,Company_83024,Prod_5002,Prod_Var_50425,2.25,6,13.5,Received,438,438,Business,Lone Tree,Colorado,80124,United States
107,Completed,6/6/2013,Thursday,June,2013.0,Cust_2040,Company_83024,Prod_5002,Prod_Var_50423,2.6,22,57.2,Received,438,438,Business,Lone Tree,Colorado,80124,United States
107,Completed,6/6/2013,Thursday,June,2013.0,Cust_2040,Company_83024,Prod_5002,Prod_Var_50424,3.0,8,24.0,Received,438,438,Business,Lone Tree,Colorado,80124,United States
107,Completed,6/6/2013,Thursday,June,2013.0,Cust_2040,Company_83024,Prod_2004,Prod_Var_20042,4.25,2,8.5,Received,438,438,Business,Lone Tree,Colorado,80124,United States
107,Completed,6/6/2013,Thursday,June,2013.0,Cust_2040,Company_83024,Prod_8072,Prod_Var_80720,3.25,2,6.5,Received,438,438,Business,Lone Tree,Colorado,80124,United States
107,Completed,6/6/2013,Thursday,June,2013.0,Cust_2040,Company_83024,Prod_3020,Prod_Var_30200,2.75,1,2.75,Received,438,438,Business,Lone Tree,Colorado,80124,United States
108,Completed,6/7/2013,Friday,June,2013.0,Cust_2041,Company_91611,Prod_2025,Prod_Var_20265,44.0,3,132.0,Received,446,446,Business,Pembroke Pines,Florida,33028-1689,United States
109,Completed,9/2/2013,Monday,September,2013.0,Cust_2941,Company_52390,Prod_1009,,3.0,30,90.0,Received,449,449,Business,Overland Park,Kansas,66209,United States
109,Completed,9/2/2013,Monday,September,2013.0,Cust_2941,Company_52390,Prod_8060,Prod_Var_80605,4.35,8,34.8,Received,449,449,Business,Overland Park,Kansas,66209,United States
109,Completed,9/2/2013,Monday,September,2013.0,Cust_2941,Company_52390,Prod_5080,Prod_Var_50801,2.75,8,22.0,Received,449,449,Business,Overland Park,Kansas,66209,United States
109,Completed,9/2/2013,Monday,September,2013.0,Cust_2941,Company_52390,Prod_5080,Prod_Var_50800,2.75,8,22.0,Received,449,449,Business,Overland Park,Kansas,66209,United States
